customer_id,customer_name,city,signup_date,signup_channel,customer_segment
CUST_00001,Karen Rhodes,Abu Dhabi,12/22/2025,Call Center,Regular
CUST_00002,Angela Hunt,Dubai,11/12/2025,App,Regular
CUST_00003,Kenneth Williams,Dubai,11/17/2025,Web,Regular
CUST_00004,Alfred Rangel,Abu Dhabi,3/22/2025,Web,Premium
CUST_00005,Jason Marshall,Sharjah,6/3/2025,Web,Regular
CUST_00006,Jessica Carney,Dubai,12/31/2025,Web,Regular
CUST_00007,Victoria Ramirez,Dubai,10/16/2025,Web,VIP
CUST_00008,Paul Graves,Dubai,11/17/2025,Referral,Regular
CUST_00009,Lisa Collins,Sharjah,2/28/2025,Call Center,Premium
CUST_00010,Laurie Rush,Sharjah,4/4/2025,App,VIP
CUST_00011,David Landry,Dubai,3/27/2025,Call Center,Premium
CUST_00012,Claire Roberts,Abu Dhabi,7/2/2025,Web,Premium
CUST_00013,Ann Ramos,Dubai,9/9/2025,Call Center,VIP
CUST_00014,Darren Mccoy,Ajman,11/13/2025,Referral,Regular
CUST_00015,Jennifer Johnson,Abu Dhabi,7/1/2025,Web,Regular
CUST_00016,Jon Powell,Dubai,8/20/2025,App,Regular
CUST_00017,Pedro Miller,Dubai,8/31/2025,Web,Regular
CUST_00018,Stephanie Hunt,Dubai,2/10/2025,Web,Regular
CUST_00019,Michael Knight,Sharjah,12/6/2025,Web,Premium
CUST_00020,Mr. Michael Murphy,Sharjah,6/12/2025,Call Center,Regular
CUST_00021,Carolyn Neal MD,Ajman,3/19/2025,Call Center,Regular
CUST_00022,Vincent Hart,Abu Dhabi,2/8/2025,Referral,Regular
CUST_00023,Amanda Aguirre,Dubai,3/22/2025,Call Center,Premium
CUST_00024,Denise Zimmerman,Abu Dhabi,3/11/2025,Referral,Regular
CUST_00025,Diamond Palmer,Ras Al Khaimah,10/25/2025,Referral,Regular
CUST_00026,Sarah Valenzuela,Dubai,11/8/2025,Web,Regular
CUST_00027,Dr. Russell Small,Sharjah,6/1/2025,App,Regular
CUST_00028,Samuel Parker,Abu Dhabi,5/9/2025,Call Center,VIP
CUST_00029,Eric Maldonado,Ajman,12/29/2025,App,Regular
CUST_00030,Kerry Oliver,Abu Dhabi,8/20/2025,Call Center,Regular
CUST_00031,Hannah Davis,Abu Dhabi,5/16/2025,App,VIP
CUST_00032,Luis Allison,Ajman,8/22/2025,Web,Regular
CUST_00033,Cassandra Lam,Dubai,2/17/2025,Call Center,Premium
CUST_00034,Rebecca Rodriguez,Abu Dhabi,9/24/2025,Web,Regular
CUST_00035,Mrs. Michelle Walker MD,Dubai,4/7/2025,App,Regular
CUST_00036,Victor White DDS,Abu Dhabi,11/7/2025,Call Center,Premium
CUST_00037,Crystal Clayton,Sharjah,7/30/2025,Web,Regular
CUST_00038,Gerald Walters,Ajman,11/24/2025,App,Premium
CUST_00039,Rebecca Potter,Sharjah,4/6/2025,Web,Regular
CUST_00040,Brittany Santiago,Abu Dhabi,3/28/2025,Web,Regular
CUST_00041,Angela Johnson,Ajman,6/1/2025,Web,VIP
CUST_00042,Brittany Lopez,Sharjah,1/15/2025,Web,Premium
CUST_00043,Jeffrey Cohen,Dubai,1/25/2025,Call Center,Regular
CUST_00044,Brenda Brock,Abu Dhabi,11/3/2025,Web,Regular
CUST_00045,Gregory Peters,Dubai,3/8/2025,Web,Regular
CUST_00046,Zachary Sanders,Dubai,1/6/2025,App,Regular
CUST_00047,Stephanie Vargas,Ajman,7/18/2025,App,Regular
CUST_00048,Christopher Perez,Dubai,4/30/2025,Web,Regular
CUST_00049,Ryan Simpson,Sharjah,3/17/2025,Referral,Regular
CUST_00050,Lisa Miller,Abu Dhabi,6/9/2025,Web,Regular
CUST_00051,Robert Mitchell,Sharjah,7/6/2025,Referral,Regular
CUST_00052,Angela Brown,Ajman,12/7/2025,App,Regular
CUST_00053,Brandon Hickman,Sharjah,11/9/2025,Web,Regular
CUST_00054,Alicia Bell,Abu Dhabi,10/24/2025,Referral,Regular
CUST_00055,Angel Allen,Abu Dhabi,11/26/2025,Referral,Premium
CUST_00056,Michael Moore,Ajman,11/14/2025,App,Regular
CUST_00057,Monica Kim,Abu Dhabi,12/27/2025,App,VIP
CUST_00058,Kristen Cannon,Sharjah,10/10/2025,Referral,Regular
CUST_00059,Allen Hernandez,Dubai,6/12/2025,App,Regular
CUST_00060,Michele Price,Dubai,6/18/2025,Call Center,VIP
CUST_00061,Shane Richard,Sharjah,8/10/2025,Referral,Regular
CUST_00062,Mr. Jerry Collins IV,Sharjah,3/25/2025,Referral,Regular
CUST_00063,Maureen Dean,Dubai,12/5/2025,App,Premium
CUST_00064,Christine Kaufman,Dubai,3/10/2025,Referral,Regular
CUST_00065,Wendy Rodriguez,Ajman,10/15/2025,App,VIP
CUST_00066,Robert Sosa,Dubai,9/30/2025,App,Regular
CUST_00067,Dr. Michael Maxwell,Sharjah,9/5/2025,Referral,Regular
CUST_00068,Christopher Thomas,Ajman,8/30/2025,App,Regular
CUST_00069,Amanda Robinson,Abu Dhabi,3/11/2025,Call Center,VIP
CUST_00070,Ethan Hill,Dubai,7/27/2025,Web,Regular
CUST_00071,Scott Harrell,Dubai,2/7/2025,Call Center,Regular
CUST_00072,Jeremy Walker,Ajman,11/27/2025,App,Regular
CUST_00073,Katie Stewart,Ras Al Khaimah,11/13/2025,App,Regular
CUST_00074,Nicholas Sutton,Abu Dhabi,10/28/2025,Call Center,Premium
CUST_00075,Stacy Smith DVM,Ajman,6/28/2025,Call Center,Regular
CUST_00076,David Russell,Sharjah,1/8/2025,Call Center,Regular
CUST_00077,Dakota Phillips,Ras Al Khaimah,2/3/2025,App,Regular
CUST_00078,Brianna Jacobs DDS,Abu Dhabi,1/29/2025,App,VIP
CUST_00079,William Anderson,Dubai,11/5/2025,App,Premium
CUST_00080,Denise Lane,Dubai,8/12/2025,Web,Premium
CUST_00081,Allen Lopez,Dubai,2/13/2025,Call Center,Regular
CUST_00082,Cory Adams,Dubai,12/8/2025,App,Regular
CUST_00083,Craig Bush,Sharjah,12/12/2025,App,Regular
CUST_00084,Connie Ferrell,Dubai,8/22/2025,Web,Premium
CUST_00085,Wyatt Gutierrez,Abu Dhabi,5/30/2025,App,Regular
CUST_00086,Lauren Powers,Ajman,1/15/2025,Web,Regular
CUST_00087,Paula Valenzuela,Sharjah,3/11/2025,Web,Regular
CUST_00088,Thomas Cooper,Dubai,7/1/2025,App,Premium
CUST_00089,Jennifer Rice,Dubai,8/29/2025,App,Regular
CUST_00090,Paula Gray,Abu Dhabi,6/9/2025,Web,VIP
CUST_00091,Lisa Riley,Dubai,10/12/2025,Web,Premium
CUST_00092,Carl Lin,Dubai,7/17/2025,Referral,Premium
CUST_00093,Mr. Andre Jennings,Ajman,8/29/2025,Call Center,Regular
CUST_00094,Jose Ross,Sharjah,6/22/2025,App,Premium
CUST_00095,Lisa Cochran,Dubai,5/13/2025,Call Center,Regular
CUST_00096,David Padilla DDS,Sharjah,9/9/2025,Web,Regular
CUST_00097,Maria Trujillo,Dubai,7/19/2025,Call Center,Premium
CUST_00098,Jessica Joseph,Ras Al Khaimah,8/14/2025,Call Center,Regular
CUST_00099,Rachael Rich,Dubai,4/4/2025,Call Center,VIP
CUST_00100,Elizabeth Oneill MD,Dubai,8/23/2025,Web,Regular
CUST_00101,James Mora,Ras Al Khaimah,12/15/2025,App,Regular
CUST_00102,Dana Evans,Dubai,7/27/2025,Referral,Regular
CUST_00103,Jordan Jefferson,Abu Dhabi,6/20/2025,Web,Regular
CUST_00104,Michael Booth,Sharjah,1/3/2026,Web,Regular
CUST_00105,Ana Delacruz,Dubai,1/28/2025,Call Center,Regular
CUST_00106,Terri Smith,Sharjah,11/1/2025,Call Center,Regular
CUST_00107,Allen Knapp,Sharjah,7/20/2025,Referral,Regular
CUST_00108,Jennifer Hodges,Abu Dhabi,9/27/2025,Referral,Regular
CUST_00109,Leah Moore,Dubai,10/6/2025,Call Center,Regular
CUST_00110,Samuel Williams,Sharjah,8/1/2025,Call Center,Regular
CUST_00111,Marie Giles,Sharjah,2/27/2025,Call Center,Regular
CUST_00112,Jonathon Smith,Abu Dhabi,9/16/2025,Referral,Premium
CUST_00113,Rickey Smith,Ras Al Khaimah,10/9/2025,App,Regular
CUST_00114,Heather Johnson DDS,Sharjah,2/20/2025,Call Center,Regular
CUST_00115,Sherry Larsen,Ras Al Khaimah,9/5/2025,Call Center,Regular
CUST_00116,Stephanie Sanders,Dubai,12/22/2025,App,Regular
CUST_00117,Joshua Johnson,Abu Dhabi,11/27/2025,Referral,Regular
CUST_00118,William Barajas,Abu Dhabi,9/26/2025,Referral,Regular
CUST_00119,Kevin Ramos,Dubai,2/2/2025,App,Premium
CUST_00120,Lori Graham,Ajman,11/10/2025,Referral,Regular
CUST_00121,Kyle Davis,Sharjah,1/12/2025,Referral,Regular
CUST_00122,Cheyenne Ward,Dubai,11/2/2025,Referral,Regular
CUST_00123,Julie Thomas,Abu Dhabi,4/7/2025,Call Center,VIP
CUST_00124,Derek Owens,Ajman,2/24/2025,Referral,Premium
CUST_00125,Travis Jennings,Abu Dhabi,10/14/2025,Referral,Regular
CUST_00126,Jason Rivers,Sharjah,2/11/2025,Call Center,Premium
CUST_00127,Jennifer Rivas,Abu Dhabi,2/17/2025,Web,Regular
CUST_00128,Chad Knight,Dubai,8/10/2025,Web,Regular
CUST_00129,Jon Mitchell,Dubai,4/2/2025,App,Regular
CUST_00130,Debra Castillo,Dubai,1/13/2025,Web,Premium
CUST_00131,Michael Morton,Dubai,6/9/2025,Call Center,Regular
CUST_00132,Leslie Berry,Abu Dhabi,9/20/2025,Referral,Regular
CUST_00133,Thomas Charles,Sharjah,1/12/2025,App,Premium
CUST_00134,Haley Mata,Sharjah,6/23/2025,Referral,Regular
CUST_00135,Jade Jensen,Dubai,6/18/2025,Referral,Regular
CUST_00136,Marcus Clark,Sharjah,3/1/2025,Web,Regular
CUST_00137,Joseph Coleman,Dubai,4/30/2025,App,Regular
CUST_00138,Richard Wagner,Sharjah,6/10/2025,Web,Premium
CUST_00139,Richard Hill,Ajman,2/19/2025,App,VIP
CUST_00140,Haley Ross,Abu Dhabi,1/29/2025,App,Regular
CUST_00141,Julie Guzman,Abu Dhabi,5/12/2025,Web,Regular
